 2073611 | 16Bm07 Jan 24 04:12:19 17 | 16BP10 F13473_3  | 11:29:51.1  36:26:48 2000 |  80 | u | 1.05 | 2.30 1.67    14 |   OG645 |   OB645 |P 3 O Q R|
 2073704 | 16Bm07 Jan 24 19:02:46 17 | 16BP09 F13025_2  |  0:02:01.2  36:08:35 2000 |  80 | u | 1.33 | 1.49 1.52   320 |   OG248 |   OB248 |A 3 O D R|
 2073775 | 16Bm07 Jan 25 00:32:53 17 | 16BP10 F14023_2  |  8:05:03.0  39:03:12 2000 |  80 | u | 1.06 | 1.48 1.50    19 |   OG842 |   OB842 |P 3 O Q R|
 2073776 | 16Bm07 Jan 25 00:35:08 17 | 16BP10 F14024_2  |  8:09:58.7  39:03:12 2000 |  80 | u | 1.06 | 1.46 1.48    20 |   OG845 |   OB845 |P 3 O Q R|
 2073777 | 16Bm07 Jan 25 00:37:52 17 | 16BP10 F14025_2  |  8:14:54.3  39:03:12 2000 |  80 | u | 1.06 | 1.54 1.56    19 |   OG848 |   OB848 |P 3 O Q R|
 2073778 | 16Bm07 Jan 25 00:40:03 17 | 16BP10 F14026_2  |  8:19:49.9  39:03:12 2000 |  80 | u | 1.06 | 1.33 1.34    19 |   OG851 |   OB851 |P 3 O Q R|
 2073825 | 16Bm07 Jan 25 02:44:17 17 | 16BP10 F13164_3  | 10:57:34.6  35:28:35 2000 |  80 | u | 1.04 | 1.14 1.16    18 |   OG462 |   OB462 |P 1 V Q R|
 2073826 | 16Bm07 Jan 25 02:46:27 17 | 16BP10 F13463_3  | 10:41:51.5  36:26:48 2000 |  80 | u | 1.04 | 1.15 1.17    18 |   OG615 |   OB615 |P 1 V Q R|
 2073827 | 16Bm07 Jan 25 02:48:46 17 | 16BP10 F13464_3  | 10:46:39.4  36:26:48 2000 |  80 | u | 1.04 | 1.10 1.13    17 |   OG618 |   OB618 |P 1 V Q R|
 2073828 | 16Bm07 Jan 25 02:50:52 17 | 16BP10 F13465_3  | 10:51:27.4  36:26:48 2000 |  80 | u | 1.04 | 1.08 1.10    18 |   OG621 |   OB621 |P 1 V Q R|
 2073829 | 16Bm07 Jan 25 02:52:57 17 | 16BP10 F13466_3  | 10:56:15.4  36:26:48 2000 |  80 | u | 1.04 | 1.19 1.21    17 |   OG624 |   OB624 |P 1 V Q R|
 2073830 | 16Bm07 Jan 25 02:55:12 17 | 16BP10 F13468_3  | 11:05:51.3  36:26:48 2000 |  80 | u | 1.04 | 1.00 1.02    17 |   OG630 |   OB630 |P 1 V Q R|
 2073831 | 16Bm07 Jan 25 02:57:17 17 | 16BP10 F13469_3  | 11:10:39.3  36:26:48 2000 |  80 | u | 1.05 | 0.95 0.98    17 |   OG633 |   OB633 |P 1 V Q R|
 2073832 | 16Bm07 Jan 25 02:59:42 17 | 16BP10 F13470_3  | 11:15:27.2  36:26:48 2000 |  80 | u | 1.05 | 0.94 0.98    17 |   OG636 |   OB636 |P 1 V Q R|
 2073833 | 16Bm07 Jan 25 03:01:47 17 | 16BP10 F13471_3  | 11:20:15.2  36:26:48 2000 |  80 | u | 1.05 | 0.97 0.99    17 |   OG639 |   OB639 |P 1 V Q R|
 2073834 | 16Bm07 Jan 25 03:03:53 17 | 16BP10 F13472_3  | 11:25:03.1  36:26:48 2000 |  80 | u | 1.05 | 1.02 1.04    17 |   OG642 |   OB642 |P 1 V Q R|
 2073835 | 16Bm07 Jan 25 03:06:17 17 | 16BP10 F13758_3  | 10:25:55.2  37:25:00 2000 |  80 | u | 1.06 | 0.92 0.95    18 |   OG768 |   OB768 |P 1 V Q R|
 2073836 | 16Bm07 Jan 25 03:08:22 17 | 16BP10 F13759_3  | 10:30:47.0  37:25:00 2000 |  80 | u | 1.06 | 0.96 0.98    18 |   OG771 |   OB771 |P 1 V Q R|
 2073837 | 16Bm07 Jan 25 03:10:27 17 | 16BP10 F13760_3  | 10:35:38.7  37:25:00 2000 |  80 | u | 1.06 | 0.92 0.94    18 |   OG774 |   OB774 |P 1 V Q R|
 2073838 | 16Bm07 Jan 25 03:12:35 17 | 16BP10 F13763_3  | 10:50:13.8  37:25:00 2000 |  80 | u | 1.05 | 0.95 0.97    18 |   OG783 |   OB783 |P 1 V Q R|
 2073839 | 16Bm07 Jan 25 03:17:26 17 | 16BP10 F13764_3  | 10:55:05.5  37:25:00 2000 |  80 | u | 1.05 | 1.05 1.07    17 |   OG786 |   OB786 |P 1 V Q R|
 2073840 | 16Bm07 Jan 25 03:19:32 17 | 16BP10 F13765_3  | 10:59:57.2  37:25:00 2000 |  80 | u | 1.05 | 1.07 1.08    17 |   OG789 |   OB789 |P 1 V Q R|
 2073841 | 16Bm07 Jan 25 03:21:37 17 | 16BP10 F13766_3  | 11:04:48.9  37:25:00 2000 |  80 | u | 1.05 | 1.00 1.02    17 |   OG792 |   OB792 |P 1 V Q R|
 2073842 | 16Bm07 Jan 25 03:23:42 17 | 16BP10 F13768_3  | 11:14:32.3  37:25:00 2000 |  80 | u | 1.05 | 1.19 1.21    17 |   OG798 |   OB798 |P 1 V Q R|
 2073843 | 16Bm07 Jan 25 03:25:47 17 | 16BP10 F13769_3  | 11:19:24.0  37:25:00 2000 |  80 | u | 1.05 | 1.11 1.13    17 |   OG801 |   OB801 |P 1 V Q R|
 2073844 | 16Bm07 Jan 25 03:27:52 17 | 16BP10 F13770_3  | 11:24:15.7  37:25:00 2000 |  80 | u | 1.05 | 1.20 1.27    17 |   OG804 |   OB804 |P 3 O Q R|
 2073845 | 16Bm07 Jan 25 03:29:57 17 | 16BP10 F13473_3  | 11:29:51.1  36:26:48 2000 |  80 | u | 1.04 | 1.17 1.19    17 |   OG645 |   OB645 |P 1 V Q R|
 2073846 | 16Bm07 Jan 25 03:32:02 17 | 16BP10 F13474_3  | 11:34:39.1  36:26:48 2000 |  80 | u | 1.04 | 1.14 1.15    17 |   OG648 |   OB648 |P 1 V Q R|
 2073847 | 16Bm07 Jan 25 03:34:07 17 | 16BP10 F13475_3  | 11:39:27.0  36:26:48 2000 |  80 | u | 1.04 | 1.16 1.18    16 |   OG651 |   OB651 |P 1 V Q R|
