2847500 | 23AQ03 Feb 23 21:19:42 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.02 | 0.71 0.70  3494 |A 3 O D|
2847501 | 23AQ03 Feb 23 21:25:25 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.02 | 0.70 0.69  3377 |A 3 O D|
2847502 | 23AQ03 Feb 23 21:31:07 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.01 | 0.74 0.73  3317 |A 2 V D|
2847503 | 23AQ03 Feb 23 21:36:49 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.01 | 0.83 0.83  3303 |A 3 O D|
2847504 | 23AQ03 Feb 23 21:42:32 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.01 | 0.81 0.81  3437 |A 3 O D|
2847505 | 23AQ03 Feb 23 21:48:14 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.00 | 0.75 0.75  3255 |A 2 V D|
2847506 | 23AQ03 Feb 23 21:53:58 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.00 | 0.66 0.66  3233 |A 2 V D|
2847507 | 23AQ03 Feb 23 21:59:40 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.00 | 0.71 0.70  3231 |A 2 V D|
2847508 | 23AQ03 Feb 23 22:05:23 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.00 | 0.71 0.70  3124 |A 2 V D|
2847509 | 23AQ03 Feb 23 22:11:05 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.00 | 0.75 0.76  3046 |A 1 V D|
2847510 | 23AQ03 Feb 23 22:16:48 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.00 | 0.71 0.72  2942 |A 1 V D|
2847518 | 23AQ03 Feb 23 23:08:42 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.03 | 0.70 0.70  2800 |P 1 V Q|
2847519 | 23AQ03 Feb 23 23:14:24 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.04 | 0.75 0.75  2826 |P 1 V Q|
2847520 | 23AQ03 Feb 23 23:20:07 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.04 | 0.72 0.72  2807 |P 1 V Q|
