May 3, 2001

Here is the transmission of the MegaPrime optics:
- Wide Field Corrector
- Image Stabilizing Plate
- Camera Window

Calculations are based on real coatings on all elements
but the front lens (not coated yet)



Wavelength (nm)	Transmission On-Axis
300	0.000
301	0.000
302	0.001
303	0.003
304	0.008
305	0.023
306	0.055
307	0.122
308	0.250
309	0.479
310	0.869
311	1.321
312	1.957
313	2.829
314	4.002
315	5.551
316	7.560
317	10.115
318	13.313
319	17.259
320	22.079
321	24.754
322	27.595
323	30.589
324	33.738
325	37.042
326	40.498
327	44.113
328	47.885
329	51.823
330	55.928
331	57.301
332	58.622
333	59.898
334	61.130
335	62.337
336	63.532
337	64.707
338	65.870
339	67.031
340	68.209
341	68.540
342	68.879
343	69.215
344	69.563
345	69.924
346	70.273
347	70.679
348	71.088
349	71.532
350	71.989
351	72.021
352	72.097
353	72.151
354	72.259
355	72.361
356	72.490
357	72.635
358	72.815
359	72.983
360	73.170
361	73.551
362	73.938
363	74.321
364	74.720
365	75.130
366	75.359
367	75.583
368	75.814
369	76.059
370	76.284
371	76.430
372	76.585
373	76.753
374	76.907
375	77.071
376	77.261
377	77.448
378	77.562
379	77.636
380	77.697
381	77.837
382	77.981
383	78.136
384	78.276
385	78.406
386	78.503
387	78.617
388	78.707
389	78.795
390	78.870
391	78.957
392	79.058
393	79.144
394	79.221
395	79.277
396	79.333
397	79.392
398	79.453
399	79.517
400	79.575
401	79.554
402	79.548
403	79.541
404	79.554
405	79.547
406	79.546
407	79.525
408	79.511
409	79.502
410	79.516
411	79.529
412	79.536
413	79.550
414	79.566
415	79.576
416	79.592
417	79.600
418	79.613
419	79.635
420	79.674
421	79.735
422	79.784
423	79.834
424	79.894
425	79.951
426	80.019
427	80.053
428	80.131
429	80.188
430	80.283
431	80.357
432	80.457
433	80.561
434	80.652
435	80.751
436	80.836
437	80.949
438	81.043
439	81.131
440	81.240
441	81.369
442	81.526
443	81.657
444	81.774
445	81.874
446	81.987
447	82.111
448	82.246
449	82.368
450	82.503
451	82.627
452	82.766
453	82.895
454	83.024
455	83.157
456	83.284
457	83.418
458	83.544
459	83.672
460	83.785
461	83.909
462	84.027
463	84.163
464	84.276
465	84.390
466	84.486
467	84.572
468	84.665
469	84.772
470	84.902
471	85.010
472	85.092
473	85.157
474	85.240
475	85.327
476	85.414
477	85.487
478	85.570
479	85.640
480	85.728
481	85.812
482	85.908
483	85.979
484	86.059
485	86.130
486	86.198
487	86.263
488	86.322
489	86.377
490	86.431
491	86.477
492	86.529
493	86.576
494	86.619
495	86.659
496	86.693
497	86.725
498	86.741
499	86.758
500	86.767
501	86.726
502	86.710
503	86.695
504	86.685
505	86.663
506	86.618
507	86.584
508	86.536
509	86.513
510	86.478
511	86.452
512	86.413
513	86.357
514	86.302
515	86.254
516	86.209
517	86.163
518	86.096
519	86.030
520	85.971
521	85.918
522	85.865
523	85.799
524	85.737
525	85.660
526	85.580
527	85.505
528	85.450
529	85.376
530	85.302
531	85.216
532	85.151
533	85.073
534	85.013
535	84.953
536	84.896
537	84.818
538	84.734
539	84.629
540	84.538
541	84.438
542	84.365
543	84.291
544	84.221
545	84.163
546	84.097
547	84.024
548	83.940
549	83.855
550	83.777
551	83.681
552	83.607
553	83.527
554	83.454
555	83.361
556	83.271
557	83.183
558	83.088
559	83.018
560	82.945
561	82.868
562	82.791
563	82.699
564	82.616
565	82.514
566	82.444
567	82.376
568	82.327
569	82.253
570	82.182
571	82.109
572	82.049
573	81.990
574	81.911
575	81.858
576	81.813
577	81.758
578	81.689
579	81.601
580	81.549
581	81.475
582	81.414
583	81.350
584	81.295
585	81.241
586	81.180
587	81.133
588	81.095
589	81.061
590	81.012
591	80.954
592	80.908
593	80.865
594	80.832
595	80.776
596	80.736
597	80.690
598	80.657
599	80.613
600	80.565
601	80.540
602	80.526
603	80.515
604	80.503
605	80.471
606	80.444
607	80.425
608	80.408
609	80.376
610	80.332
611	80.311
612	80.328
613	80.324
614	80.327
615	80.288
616	80.297
617	80.272
618	80.269
619	80.247
620	80.238
621	80.229
622	80.229
623	80.222
624	80.219
625	80.222
626	80.227
627	80.235
628	80.222
629	80.218
630	80.207
631	80.219
632	80.230
633	80.245
634	80.238
635	80.243
636	80.242
637	80.248
638	80.256
639	80.275
640	80.303
641	80.298
642	80.308
643	80.315
644	80.344
645	80.346
646	80.343
647	80.351
648	80.386
649	80.402
650	80.420
651	80.441
652	80.485
653	80.520
654	80.551
655	80.566
656	80.587
657	80.615
658	80.648
659	80.692
660	80.725
661	80.765
662	80.805
663	80.848
664	80.902
665	80.948
666	80.994
667	81.020
668	81.054
669	81.061
670	81.092
671	81.106
672	81.169
673	81.200
674	81.244
675	81.260
676	81.298
677	81.338
678	81.375
679	81.444
680	81.507
681	81.573
682	81.618
683	81.653
684	81.698
685	81.729
686	81.785
687	81.828
688	81.864
689	81.905
690	81.963
691	82.040
692	82.090
693	82.143
694	82.171
695	82.205
696	82.248
697	82.300
698	82.362
699	82.397
700	82.451
701	82.498
702	82.556
703	82.610
704	82.660
705	82.708
706	82.732
707	82.767
708	82.819
709	82.877
