# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2022-08-04
# Opened the vacuum chamber on 2022-08-08
# Measured with Subaru Portable Spectrophotometer (SPS) on 2022-10-13 (70 days after)
# Measured three times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
1000	92.61 	93.42 	93.60 
998	93.27 	92.65 	92.44 
996	92.80 	93.30 	92.75 
994	91.91 	92.96 	91.51 
992	92.45 	93.11 	92.43 
990	92.17 	92.80 	92.70 
988	92.69 	93.65 	92.17 
986	92.23 	93.02 	92.98 
984	92.60 	92.70 	93.10 
982	92.53 	91.93 	92.51 
980	92.45 	93.03 	92.68 
978	91.78 	92.49 	92.15 
976	92.92 	92.33 	92.69 
974	92.83 	93.63 	92.89 
972	92.40 	92.03 	92.09 
970	92.04 	92.60 	91.32 
968	92.26 	91.75 	91.87 
966	92.74 	92.19 	92.07 
964	91.68 	92.37 	92.08 
962	92.95 	92.53 	92.73 
960	91.97 	93.17 	92.08 
958	91.85 	92.14 	92.44 
956	91.56 	91.99 	90.98 
954	91.66 	92.32 	92.20 
952	91.12 	91.81 	92.07 
950	91.63 	91.29 	91.77 
948	91.52 	91.81 	91.48 
946	91.60 	91.69 	90.79 
944	91.50 	91.37 	91.20 
942	91.20 	91.39 	91.22 
940	90.52 	91.57 	91.71 
938	90.93 	91.89 	91.03 
936	90.84 	91.09 	91.33 
934	90.16 	90.88 	90.96 
932	90.32 	91.25 	90.63 
930	90.61 	90.77 	90.39 
928	90.28 	91.13 	90.75 
926	90.61 	90.96 	90.89 
924	90.58 	90.98 	90.57 
922	90.06 	90.28 	90.22 
920	90.05 	90.91 	90.13 
918	90.03 	89.97 	90.40 
916	90.00 	90.54 	90.15 
914	89.83 	89.87 	90.02 
912	89.97 	89.65 	89.92 
910	89.42 	89.57 	89.71 
908	89.36 	89.53 	89.71 
906	89.26 	89.50 	89.30 
904	89.23 	89.16 	89.01 
902	88.67 	89.05 	89.09 
900	89.26 	88.90 	89.01 
898	89.00 	88.77 	88.81 
896	88.53 	89.10 	89.02 
894	88.01 	88.67 	88.42 
892	88.08 	88.46 	88.41 
890	88.04 	88.41 	88.15 
888	87.74 	88.25 	88.20 
886	87.75 	88.14 	88.18 
884	87.71 	87.90 	87.62 
882	87.48 	87.49 	87.91 
880	87.44 	87.38 	87.51 
878	87.51 	87.61 	87.41 
876	86.87 	87.38 	86.91 
874	87.04 	87.34 	87.45 
872	86.81 	86.69 	86.76 
870	86.33 	86.69 	86.90 
868	86.27 	87.08 	86.81 
866	86.43 	86.58 	86.15 
864	86.18 	86.65 	85.97 
862	85.81 	86.35 	86.17 
860	86.08 	86.13 	85.90 
858	85.94 	85.81 	85.86 
856	85.47 	85.88 	85.79 
854	85.34 	85.67 	85.57 
852	85.65 	85.67 	85.65 
850	85.31 	85.23 	85.72 
848	85.29 	85.12 	85.21 
846	84.98 	85.35 	85.57 
844	85.08 	85.65 	85.02 
842	85.06 	85.63 	85.00 
840	85.03 	85.70 	84.96 
838	85.04 	85.31 	85.09 
836	84.86 	85.50 	85.18 
834	85.09 	85.21 	84.68 
832	85.04 	84.55 	84.66 
830	84.67 	84.83 	85.02 
828	84.77 	84.95 	85.21 
826	84.77 	84.70 	84.97 
824	84.61 	85.49 	85.12 
822	84.76 	85.18 	84.89 
820	84.84 	85.01 	84.64 
818	84.78 	85.07 	84.78 
816	84.83 	85.03 	84.96 
814	85.17 	85.27 	84.78 
812	85.11 	85.22 	84.90 
810	85.02 	85.25 	85.39 
808	85.15 	85.54 	85.35 
806	85.36 	85.27 	85.30 
804	85.25 	85.14 	85.80 
802	85.19 	85.56 	85.14 
800	85.31 	85.49 	85.14 
798	85.28 	85.55 	85.33 
796	85.61 	85.50 	85.48 
794	85.63 	86.00 	85.69 
792	85.84 	85.45 	85.64 
790	85.51 	86.10 	85.73 
788	85.71 	86.12 	85.74 
786	85.81 	86.10 	85.80 
784	86.07 	85.99 	85.79 
782	86.26 	86.54 	85.99 
780	86.00 	86.26 	85.95 
778	85.91 	86.31 	86.14 
776	86.00 	86.35 	86.20 
774	85.99 	86.62 	86.69 
772	86.31 	86.82 	86.76 
770	86.42 	86.79 	86.39 
768	86.58 	86.53 	86.63 
766	86.48 	86.68 	86.64 
764	87.00 	86.94 	87.01 
762	86.74 	86.78 	86.76 
760	86.55 	86.84 	86.95 
758	86.70 	87.17 	86.98 
756	87.00 	87.10 	86.91 
754	87.15 	87.34 	87.19 
752	86.93 	87.24 	87.45 
750	87.01 	87.42 	87.34 
748	87.11 	87.53 	87.39 
746	87.53 	87.27 	87.55 
744	87.47 	87.38 	87.44 
742	87.30 	87.38 	87.69 
740	87.27 	87.83 	87.44 
738	87.60 	87.79 	87.65 
736	87.61 	87.97 	87.70 
734	87.66 	87.65 	87.79 
732	87.82 	87.91 	87.90 
730	87.74 	88.00 	87.68 
728	87.86 	87.99 	87.84 
726	87.86 	88.13 	87.94 
724	87.91 	88.04 	87.83 
722	88.17 	88.24 	88.22 
720	87.88 	88.43 	88.08 
718	88.13 	88.40 	88.12 
716	88.26 	88.31 	88.17 
714	88.06 	88.35 	88.25 
712	88.13 	88.40 	88.43 
710	88.27 	88.40 	88.24 
708	88.29 	88.81 	88.48 
706	88.44 	88.56 	88.52 
704	88.62 	88.70 	88.83 
702	88.56 	88.63 	88.60 
700	88.61 	88.61 	88.54 
698	88.66 	88.75 	88.76 
696	88.47 	88.86 	88.62 
694	88.68 	88.70 	88.47 
692	88.57 	89.19 	88.73 
690	88.50 	88.69 	88.75 
688	88.65 	88.90 	88.80 
686	88.66 	88.96 	88.85 
684	88.70 	89.15 	88.95 
682	88.72 	88.99 	88.86 
680	89.01 	89.25 	88.91 
678	88.95 	89.22 	89.20 
676	88.91 	89.13 	89.15 
674	88.95 	89.27 	89.27 
672	88.93 	89.26 	89.14 
670	89.08 	89.00 	89.00 
668	89.27 	89.32 	89.40 
666	89.14 	89.33 	89.20 
664	89.18 	89.22 	89.32 
662	89.20 	89.31 	89.23 
660	89.24 	89.40 	89.42 
658	88.95 	89.28 	89.58 
656	89.34 	89.52 	89.36 
654	89.42 	89.44 	89.57 
652	89.36 	89.49 	89.37 
650	89.43 	89.40 	89.50 
648	89.45 	89.73 	89.45 
646	89.62 	89.66 	89.62 
644	89.51 	89.72 	89.54 
642	89.52 	89.52 	89.66 
640	89.60 	89.76 	89.67 
638	89.80 	89.83 	89.78 
636	89.65 	89.81 	89.91 
634	89.46 	89.69 	89.73 
632	89.59 	89.78 	89.81 
630	89.70 	89.75 	89.93 
628	89.66 	89.92 	89.87 
626	89.68 	89.87 	89.76 
624	89.82 	89.94 	89.74 
622	90.08 	89.69 	89.84 
620	89.84 	89.99 	89.92 
618	89.83 	90.01 	89.83 
616	89.66 	89.87 	89.87 
614	89.95 	89.89 	89.88 
612	89.82 	90.08 	89.92 
610	89.93 	89.98 	89.95 
608	90.03 	89.89 	90.06 
606	89.72 	90.14 	90.11 
604	89.90 	90.27 	90.12 
602	90.05 	90.06 	89.96 
600	89.92 	90.14 	90.19 
598	90.09 	90.30 	90.05 
596	90.12 	90.23 	90.00 
594	90.02 	90.34 	89.91 
592	90.09 	90.19 	90.15 
590	90.02 	90.20 	90.11 
588	90.02 	90.41 	90.31 
586	90.05 	90.11 	90.25 
584	90.14 	90.24 	90.28 
582	90.07 	90.54 	90.28 
580	90.13 	90.38 	90.18 
578	90.08 	90.50 	90.36 
576	90.25 	90.48 	90.26 
574	90.17 	90.33 	90.31 
572	90.12 	90.36 	90.42 
570	90.21 	90.44 	90.29 
568	90.30 	90.46 	90.55 
566	90.12 	90.49 	90.30 
564	90.35 	90.56 	90.32 
562	90.32 	90.52 	90.43 
560	90.47 	90.60 	90.22 
558	90.44 	90.57 	90.37 
556	90.33 	90.55 	90.66 
554	90.46 	90.54 	90.31 
552	90.28 	90.67 	90.41 
550	90.35 	90.58 	90.54 
548	90.23 	90.72 	90.20 
546	90.21 	90.69 	90.46 
544	90.54 	90.73 	90.59 
542	90.45 	90.62 	90.46 
540	90.37 	90.82 	90.73 
538	90.37 	90.66 	90.58 
536	90.45 	90.68 	90.63 
534	90.66 	90.81 	90.66 
532	90.65 	90.83 	90.75 
530	90.32 	90.60 	90.81 
528	90.50 	90.62 	90.63 
526	90.59 	90.60 	90.65 
524	90.61 	90.75 	90.52 
522	90.51 	90.71 	90.49 
520	90.59 	90.80 	90.61 
518	90.44 	90.74 	90.68 
516	90.79 	90.70 	90.81 
514	90.73 	90.66 	90.83 
512	90.64 	90.86 	90.72 
510	90.57 	90.91 	90.78 
508	90.68 	90.81 	90.71 
506	90.80 	90.79 	90.89 
504	90.71 	90.91 	90.80 
502	90.58 	90.90 	90.87 
500	90.80 	90.94 	90.90 
