"""Preview""","""Collection""","""Sequence Number""","""Product ID""","""RA (J2000.0)""","""Dec. (J2000.0)""","""Target Name""","""Start Date""","""Int. Time""","""Instrument""","""Filter""","""Cal. Lev.""","""Obs. Type""","""Proposal ID""","""P.I. Name""","""Data Release""","""Obs. ID""","""Min. Wavelength""","""Max. Wavelength""","""Field of View""","""Shape""","""Pixel Scale""","""Resolving Power""","""End Date""","""Data Type""","""Moving Target""","""Provenance Name""","""Provenance Keywords""","""Intent""","""Target Type""","""Target Standard""","""Target Keywords""","""Meta Release""","""Algorithm Name""","""Proposal Title""","""Proposal Keywords""","""IQ""","""Instrument Keywords""","""Molecule""","""Transition""","""Proposal Project""","""Band""","""Prov. Reference""","""Prov. Version""","""Prov. Project""","""Prov. Producer""","""Prov. Run ID""","""Prov. Last Executed""","""Prov. Inputs""","""Rest-frame Energy""","""Quality""","""planeID""","""DOWNLOADABLE""","""Publisher ID"""
caom:CFHT/1861432,CFHT,1861432,1861432p,150.1171870887781,2.2108011277227604,D2,57395.6710044,120.04399999999995,MegaPrime,g.MP9402,2,OBJECT,15BQ97,QSO Team,2016-01-08T00:00:00.000,1861432,3.969E-7,5.539E-7,1.13549392765648,polygon 149.6297538764121 1.7111780541347912 149.5187609727409 1.9687573281763662 149.5160252585833 2.4465622818991477 149.62448045386404 2.705555666817162 150.6048047926725 2.7104470903061753 150.71581994327113 2.45261088451268 150.7180599994837 1.9745707242363437 150.6092068459216 1.7156443905203957,0.18561477342281776,3.0300000000000007,57395.672393798144,image,0,ELIXIR,,calibration,,1,,2016-01-08T16:08:19.000,exposure,,,,Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,15Bm08,2016-01-27T18:23:26.000,caom:CFHT/1861432/1861432o,,,00000000-0000-0000-fffa-0152ed71d99d,ivo://cadc.nrc.ca/CFHT?1861432/1861432p,ivo://cadc.nrc.ca/CFHT?1861432/1861432p
caom:CFHT/1909582,CFHT,1909582,1909582p,150.11681020030596,2.2108523627174463,D2,57459.2447537,120.04599999999998,MegaPrime,g.MP9402,2,OBJECT,16AQ97,QSO Team,2016-03-12T00:00:00.000,1909582,3.98003455913135E-7,5.51447311988385E-7,1.1357728556432747,polygon 149.62879488652266 1.7115212107597273 149.51833339144562 1.9695915466846259 149.51571695748487 2.4470722215852163 149.62455283715573 2.7062015936277817 150.60470945746107 2.710197231606358 150.71558704828644 2.4521522382069065 150.7175259661518 1.9743028858359253 150.60871404671238 1.715167835255869,0.18567228186116208,3.093805096490481,57459.246143121294,image,,ELIXIR,,calibration,,1,,2016-03-12T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,16Am01,2016-04-05T08:50:00.000,caom:CFHT/1909582/1909582o,,,00000000-0000-0000-5b79-01551003ba43,ivo://cadc.nrc.ca/CFHT?1909582/1909582p,ivo://cadc.nrc.ca/CFHT?1909582/1909582p
caom:CFHT/1910028,CFHT,1910028,1910028p,150.1185218305236,2.2102020113504466,D2,57463.231705,120.04799999999989,MegaPrime,g.MP9402,2,OBJECT,16AQ97,QSO Team,2016-03-16T00:00:00.000,1910028,3.98003455913135E-7,5.51447311988385E-7,1.1343262889507102,polygon 149.63100308469726 1.7110024327079572 149.52018457972798 1.9686361714597211 149.51771115367373 2.446341191157103 149.62637750596272 2.7051917574209767 150.6060807079954 2.708826099188073 150.71743051849595 2.451232555748632 150.7190773539733 1.973408344847698 150.61119950433024 1.7156435798202523,0.1855890737865333,3.093805096490481,57463.23309444444,image,,ELIXIR,,calibration,,1,,2016-03-16T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,16Am01,2016-04-05T09:01:48.000,caom:CFHT/1910028/1910028o,,,00000000-0000-0000-b108-015510434411,ivo://cadc.nrc.ca/CFHT?1910028/1910028p,ivo://cadc.nrc.ca/CFHT?1910028/1910028p
caom:CFHT/2214553,CFHT,2214553,2214553p,150.11798470087308,2.2115194209300597,D2,58047.640252,120.061,MegaPrime,g.MP9402,2,OBJECT,17BQ97,QSO Team,2017-10-21T00:00:00.000,2214553,3.98003455913135E-7,5.51447311988385E-7,1.1354517833576487,polygon 149.63028636344177 1.712047131746175 149.51952903604234 1.9698858270997874 149.51685085558816 2.447658814574339 149.62532747171036 2.7063053744151375 150.60582759507142 2.71101340904049 150.71679891886515 2.4531278602270277 150.7186813546017 1.9752151532613453 150.60982958525034 1.7162115492764656,0.18564087270877005,3.093805096490481,58047.641641594906,image,,ELIXIR,,calibration,,1,,2017-10-21T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,17Bm03,2017-10-31T11:44:42.000,caom:CFHT/2214553/2214553o,,,00000000-0000-0000-9ef3-015f7a4f6856,ivo://cadc.nrc.ca/CFHT?2214553/2214553p,ivo://cadc.nrc.ca/CFHT?2214553/2214553p
caom:CFHT/2235439,CFHT,2235439,2235439p,150.11705532962452,2.20990076138078,D2,58101.6572339,120.09499999999996,MegaPrime,g.MP9402,2,OBJECT,17BQ97,QSO Team,2017-12-14T00:00:00.000,2235439,3.98003455913135E-7,5.51447311988385E-7,1.136216732386945,polygon 149.62940796516148 1.7104625572920327 149.51841971627053 1.968135526535221 149.51582200587686 2.446152958289403 149.6244358895615 2.705105380285019 150.60499086942085 2.7095419174260087 150.71588927487224 2.4516104484615795 150.71780394998189 1.9735241385438371 150.60881096463007 1.7139796663761047,0.18563059318817232,3.093805096490481,58101.65862388843,image,,ELIXIR,,calibration,,1,,2017-12-14T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,17Bm05,2018-01-11T10:00:30.000,caom:CFHT/2235439/2235439o,,,00000000-0000-0000-e3f2-0160ec80cd76,ivo://cadc.nrc.ca/CFHT?2235439/2235439p,ivo://cadc.nrc.ca/CFHT?2235439/2235439p
caom:CFHT/2246098,CFHT,2246098,2246098p,150.1158549489257,2.2066644544827057,D2,58194.4019928,120.13000000000008,MegaPrime,g.MP9402,2,OBJECT,18AQ97,QSO Team,2018-03-17T00:00:00.000,2246098,3.98003455913135E-7,5.51447311988385E-7,1.1353830729564223,polygon 149.63157156262565 1.7037612187544653 149.51925128555243 1.9609395497707425 149.5132988715842 2.4384207979354215 149.6202132222607 2.6983673405865147 150.60036413596657 2.709462812080517 150.7127808696901 2.45234480291505 150.71803937810566 1.974639655451 150.61104070688054 1.714653034250901,0.1856480346311083,3.093805096490481,58194.403383193516,image,,ELIXIR,,calibration,,1,,2018-03-17T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,18Am02,2018-04-13T17:11:07.000,caom:CFHT/2246098/2246098o,,,00000000-0000-0000-b0c2-0162c520a931,ivo://cadc.nrc.ca/CFHT?2246098/2246098p,ivo://cadc.nrc.ca/CFHT?2246098/2246098p
caom:CFHT/2278712,CFHT,2278712,2278712p,150.11617632746638,2.2129704663761487,D2,58261.2465022,120.06199999999993,MegaPrime,g.MP9402,2,OBJECT,18AQ97,QSO Team,2018-05-23T00:00:00.000,2278712,3.98003455913135E-7,5.51447311988385E-7,1.1346135742889807,polygon 149.6315317206889 1.7111903830996198 149.51923131147444 1.9680450107377254 149.51403924599944 2.4456339598879566 149.62110015860657 2.7050662694247194 150.60092470398635 2.714939566221915 150.7132175757176 2.4577519632942 150.71783067888177 1.9798782993138673 150.61127768228243 1.720438536172793,0.1855537048716516,3.093805096490481,58261.24789180649,image,,ELIXIR,,calibration,,1,,2018-05-23T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,18Am04,2018-06-10T22:31:33.000,caom:CFHT/2278712/2278712o,,,00000000-0000-0000-2975-0163efdca551,ivo://cadc.nrc.ca/CFHT?2278712/2278712p,ivo://cadc.nrc.ca/CFHT?2278712/2278712p
caom:CFHT/2362124,CFHT,2362124,2362124p,150.1174042855414,2.2091629286866095,D2,58468.6620254,120.09299999999993,MegaPrime,g.MP9402,2,OBJECT,18BQ97,QSO Team,2018-12-16T00:00:00.000,2362124,3.98003455913135E-7,5.51447311988385E-7,1.1359002303101988,polygon 149.63301351461888 1.7065352152609563 149.5204492327551 1.963471827169144 149.5146801303394 2.441234143876173 149.62159710593036 2.7009648348878557 150.6020270326864 2.712004127377895 150.71452687245224 2.4546113397495617 150.71967152312882 1.9764865386717645 150.61241526723128 1.7167111921948361,0.18563059124660727,3.093805096490481,58468.66341536528,image,,ELIXIR,,calibration,,1,,2018-12-16T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,18Bm05,2018-12-23T21:44:12.000,caom:CFHT/2362124/2362124o,,,00000000-0000-0000-9e5c-0167e16d49cf,ivo://cadc.nrc.ca/CFHT?2362124/2362124p,ivo://cadc.nrc.ca/CFHT?2362124/2362124p
caom:CFHT/2368445,CFHT,2368445,2368445p,150.1134086862494,2.210493393676373,D2,58498.6685474,120.05699999999987,MegaPrime,g.MP9402,2,OBJECT,18BQ97,QSO Team,2019-01-15T00:00:00.000,2368445,3.98003455913135E-7,5.51447311988385E-7,1.1359324806695348,polygon 149.62820869332594 1.708408721918289 149.51594772117087 1.9653906187732701 149.5110997244461 2.4434015102838345 149.61830737135097 2.7029387980735464 150.59872200964108 2.7126176493293173 150.7110020367691 2.455353299415492 150.71555707152453 1.9773347419175167 150.60787333379298 1.7176828428347761,0.1856382072797559,3.093805096490481,58498.66993694861,image,,ELIXIR,,calibration,,1,,2019-01-15T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,18Bm06,2019-02-04T17:11:23.000,caom:CFHT/2368445/2368445o,,,00000000-0000-0000-f740-0168bee4deca,ivo://cadc.nrc.ca/CFHT?2368445/2368445p,ivo://cadc.nrc.ca/CFHT?2368445/2368445p
caom:CFHT/2366760,CFHT,2366760,2366760p,150.11354837908536,2.2105639128016037,D2,58492.6704738,120.05400000000006,MegaPrime,g.MP9402,2,OBJECT,18BQ97,QSO Team,2019-01-09T00:00:00.000,2366760,3.98003455913135E-7,5.51447311988385E-7,1.135093232962486,polygon 149.62822986108642 1.7091181409195997 149.51610416584745 1.965432491348551 149.51124454731644 2.44347408456035 149.61868765089238 2.7025992252890347 150.59883027944207 2.7125426827628587 150.71101715227337 2.455301185987267 150.71533099403075 1.977430337482545 150.60792494260932 1.7176791725489267,0.18560617222007944,3.093805096490481,58492.67186331389,image,,ELIXIR,,calibration,,1,,2019-01-09T00:00:00.000,master_detrend,,,,INSTMODE=Normal,,,,Optical,http://www.cfht.hawaii.edu/Instruments/Elixir/,2.0,STANDARD PIPELINE,CFHT,18Bm06,2019-01-30T19:32:43.000,caom:CFHT/2366760/2366760o,,,00000000-0000-0000-68bc-0168bedd898f,ivo://cadc.nrc.ca/CFHT?2366760/2366760p,ivo://cadc.nrc.ca/CFHT?2366760/2366760p
